24,51,56,76,85,99,112,122,146,170,172,175,224,257,300,327,392,490,556,570,571,606,656,703,714,779,794,818,842,858,906,954,996,1073,1124,1187,1218,1242,1307,1346,1417,1486,1566,1567,1649,1732,1794,1818,1866,1900,1927,1982,2054,2079,2160,2236,2318,2385,2484,2563,2570,2645,2705,2785,2818,2914,2966,3008,3027,3070,3104,3200,3222,3240,3328,3420,3462,3536,3563,3588,3643,3704,3782,3876,3973,4051,4063,4111,4142,4148,4161,4205,4245,4303,4379,4474,4529,4619,4636,4683,4770,4776,4873,4950,5033,5127,5145,5244,5257,5295,5364,5419,5496,5545,5634,5684,5686,5715,5760,5851,5857,5907,5990,6027,6106,6137,6226,6259,6293,6351,6424,6513,6568,6662,6748,6829,6879,6931,6948,6999,7077,7171,7268,7358,7415,7469,7482,7567,7587,7634,7700,7787,7875,7960,7987,8084,8175,8253,8344,8390,8391,8448,8521,8559,8577,8630,8631,8729,8827,8847,8894,8946,9035,9093,9178,9223,9270,9305,9313,9382,9473,9474,9507,9547,9549,9569,9586,9673,9676,9712,9807,9819,9905,9985,10057,10148,10244,10313,10390,10448
41,71,80,97,118,149,211,213,253,297,306,365,421,474,547,581,605,650,682,744,755,805,842,856,877,941,1003,1006,1066,1143,1179,1223,1244,1297,1349,1363,1450,1523,1528,1537,1611,1678,1685,1779,1866,1878,1879,1949,2037,2106,2154,2178,2234,2292,2378,2470,2523,2621,2647,2668,2761,2842,2854,2863,2950,2961,3052,3102,3178,3273,3286,3381,3382,3472,3526,3609,3680,3697,3786,3845,3938,3946,4038,4119,4158,4173,4259,4321,4379,4460,4462,4528,4574,4583,4608,4661,4698,4777,4831,4917,4979,5052,5091,5183,5231,5250,5312,5371,5439,5480,5529,5618,5651,5750,5829,5890,5961,6005,6037,6087,6161,6240,6252,6323,6360,6427,6456,6511,6576,6635,6691,6717,6770,6843,6874,6954,7040,7117,7160,7249,7305,7347,7369,7420,7431,7473,7503,7595,7655,7684,7764,7801,7917,8058,8077,8178,8264,8325,8361,8447,8518,8532,8559,8653,8696,8766,8838,8860,8935,8978,9064,9097,9132,9204,9250,9273,9324,9400,9496,9549,9578,9657,9696,9779,9785,9808,9857,9924,9935,9940,9994,9996,10088,10092,10111,10227,10313,10390,10465,10544
57,89,91,136,189,215,244,317,347,358,422,445,498,507,552,606,652,673,697,789,823,888,914,1000,1041,1070,1088,1156,1180,1220,1273,1344,1395,1411,1445,1528,1566,1584,1648,1713,1782,1854,1904,1949,2019,2064,2099,2156,2249,2327,2355,2454,2491,2540,2626,2654,2751,2775,2792,2848,2937,3021,3082,3175,3181,3203,3272,3320,3334,3432,3530,3531,3538,3566,3640,3654,3749,3823,3898,3944,4031,4068,4135,4196,4230,4329,4415,4424,4472,4478,4502,4579,4669,4714,4725,4737,4830,4894,4991,5018,5063,5064,5143,5240,5310,5311,5317,5411,5476,5568,5657,5726,5787,5874,5895,5982,6022,6049,6073,6109,6230,6277,6373,6468,6550,6577,6654,6672,6682,6759,6857,6921,6973,6994,7046,7134,7187,7199,7224,7256,7354,7438,7476,7574,7637,7672,7679,7739,7799,7886,7971,7993,8027,8065,8147,8251,8292,8414,8422,8534,8592,8634,8670,8769,8777,8807,8844,8893,8967,9019,9146,9234,9324,9332,9356,9386,9416,9509,9571,9651,9740,9748,9795,9871,9886,9962,10029,10075,10079,10173,10248,10347,10349,10436,10484,10512,10549,10639,10729,10804
59,101,182,185,255,258,271,326,382,400,496,531,534,586,627,643,688,760,852,940,943,969,971,1028,1063,1100,1145,1201,1266,1326,1379,1457,1494,1558,1622,1647,1714,1716,1807,1824,1885,1912,2009,2066,2142,2238,2262,2317,2407,2430,2492,2581,2671,2708,2718,2802,2820,2919,2925,2955,3054,3130,3192,3239,3301,3326,3373,3425,3524,3601,3677,3699,3788,3887,3943,4039,4063,4108,4156,4215,4249,4256,4324,4388,4407,4483,4527,4590,4592,4676,4748,4770,4835,4846,4881,4948,5032,5113,5169,5216,5294,5295,5391,5402,5490,5581,5624,5717,5734,5808,5883,5947,5951,5958,6012,6085,6121,6206,6227,6263,6295,6306,6467,6566,6583,6655,6707,6739,6778,6861,6954,6981,7043,7098,7162,7184,7211,7304,7366,7456,7546,7600,7630,7649,7723,7774,7775,7792,7897,7992,8087,8116,8195,8251,8339,8409,8502,8528,8568,8633,8682,8780,8854,8856,8936,8955,8959,8988,9064,9157,9240,9335,9350,9432,9488,9570,9572,9585,9667,9766,9838,9920,9928,10005,10040,10068,10093,10172,10212,10284,10289,10353,10386,10484,10547,10572,10667,10719,10739,10858
63,130,204,283,304,313,352,440,449,514,564,604,674,717,790,846,935,993,1090,1099,1134,1161,1211,1217,1278,1360,1446,1479,1544,1554,1567,1603,1640,1693,1783,1821,1841,1876,1953,1959,2023,2028,2078,2117,2178,2258,2279,2377,2410,2519,2582,2641,2705,2784,2878,2883,2970,2985,3083,3156,3224,3250,3308,3311,3317,3410,3509,3546,3558,3659,3740,3818,3885,3961,4033,4048,4117,4154,4248,4301,4319,4321,4423,4465,4529,4582,4619,4695,4733,4813,4904,4959,4999,5003,5008,5088,5176,5197,5256,5354,5374,5376,5442,5501,5582,5674,5764,5784,5855,5929,5985,6027,6104,6160,6174,6257,6282,6346,6400,6484,6495,6545,6592,6639,6733,6823,6909,6970,6980,7047,7112,7204,7233,7259,7273,7372,7384,7473,7534,7539,7580,7676,7767,7841,7897,7933,7941,8017,8055,8153,8216,8264,8338,8375,8469,8554,8593,8601,8641,8654,8752,8811,8880,8932,8938,8969,9043,9105,9196,9288,9378,9461,9510,9520,9545,9661,9709,9764,9815,9901,9951,9953,9962,10101,10138,10198,10202,10217,10310,10378,10412,10470,10524,10620,10673,10707,10796,10891,10989,11063
93,197,266,300,327,348,434,479,522,554,610,684,760,809,883,939,993,1067,1105,1133,1182,1237,1282,1362,1447,1509,1531,1546,1608,1612,1620,1680,1710,1789,1803,1897,1983,1985,2074,2148,2196,2294,2314,2354,2365,2429,2493,2516,2594,2663,2752,2841,2858,2879,2896,2923,3014,3022,3115,3218,3258,3283,3381,3406,3442,3493,3522,3622,3663,3675,3817,3881,3980,4017,4115,4135,4159,4250,4339,4425,4456,4478,4531,4565,4631,4673,4703,4744,4745,4828,4923,5049,5090,5172,5224,5270,5272,5366,5435,5459,5507,5562,5621,5668,5746,5823,5862,5894,5911,5953,6066,6102,6200,6228,6293,6367,6377,6429,6475,6542,6599,6609,6682,6743,6824,6864,6988,6994,7070,7147,7244,7312,7341,7416,7468,7487,7563,7584,7649,7683,7710,7780,7858,7931,8001,8023,8100,8141,8227,8268,8294,8361,8447,8462,8562,8569,8665,8666,8743,8829,8900,8919,9010,9024,9111,9175,9240,9252,9295,9333,9404,9489,9598,9624,9634,9737,9745,9809,9844,9978,10013,10077,10117,10188,10242,10254,10323,10365,10367,10402,10460,10568,10586,10652,10724,10786,10889,10980,11056,11127
121,205,301,347,383,449,460,574,599,603,635,764,819,870,966,1020,1092,1139,1144,1207,1294,1345,1357,1444,1473,1569,1646,1655,1713,1779,1803,1878,1963,1988,2056,2128,2152,2188,2253,2268,2280,2302,2387,2458,2463,2511,2582,2668,2715,2756,2821,2851,2893,2962,2965,3042,3093,3150,3227,3232,3302,3311,3391,3503,3520,3583,3669,3710,3783,3794,3892,3968,4011,4047,4156,4202,4282,4350,4423,4426,4458,4545,4570,4650,4743,4799,4872,4958,5005,5074,5108,5123,5216,5304,5398,5476,5495,5496,5522,5560,5657,5660,5693,5712,5759,5917,6009,6027,6052,6127,6210,6291,6304,6389,6416,6436,6505,6575,6600,6668,6766,6864,6923,6956,6998,7010,7087,7180,7250,7272,7295,7371,7418,7434,7535,7612,7690,7691,7712,7797,7827,7887,7894,7970,8051,8078,8106,8188,8248,8305,8335,8395,8530,8573,8664,8700,8716,8791,8818,8834,8910,8948,9029,9095,9195,9220,9285,9289,9376,9453,9545,9597,9632,9652,9670,9739,9812,9859,9913,10065,10126,10132,10134,10225,10250,10329,10353,10369,10446,10518,10577,10585,10648,10669,10766,10804,10965,10985,11099,11218
168,281,310,348,473,476,551,595,625,721,784,862,864,951,1012,1082,1135,1142,1231,1302,1343,1359,1454,1466,1516,1648,1687,1725,1823,1875,1959,1988,2012,2109,2137,2188,2268,2282,2356,2381,2474,2537,2571,2581,2645,2743,2821,2910,2921,2934,2947,3014,3081,3113,3173,3258,3281,3359,3444,3518,3539,3604,3635,3700,3731,3745,3796,3857,3917,3977,4072,4146,4147,4230,4272,4291,4384,4483,4536,4567,4593,4652,4740,4764,4860,4872,4942,5037,5092,5139,5184,5233,5327,5366,5493,5507,5510,5587,5648,5676,5683,5737,5792,5851,5940,5984,6071,6145,6197,6261,6316,6371,6427,6483,6555,6563,6596,6653,6740,6808,6888,6950,7006,7077,7100,7155,7252,7311,7330,7396,7466,7474,7541,7628,7630,7635,7741,7756,7804,7891,7916,8015,8035,8041,8079,8178,8179,8235,8288,8393,8428,8519,8605,8635,8721,8738,8748,8868,8958,8997,9090,9116,9117,9128,9241,9317,9370,9391,9414,9551,9608,9651,9701,9764,9859,9879,9880,9913,10010,10092,10133,10138,10200,10287,10323,10363,10403,10441,10487,10523,10628,10709,10789,10791,10885,10886,10995,10999,11183,11270
203,306,382,451,512,577,661,756,819,852,864,950,984,1054,1097,1137,1197,1276,1333,1361,1374,1473,1554,1627,1712,1722,1805,1868,1925,2002,2066,2084,2166,2212,2254,2317,2409,2470,2471,2536,2600,2628,2708,2737,2777,2854,2919,3012,3041,3114,3144,3152,3225,3247,3296,3376,3406,3486,3522,3597,3674,3722,3747,3843,3904,3937,3979,4078,4089,4102,4155,4169,4197,4303,4343,4410,4498,4553,4619,4668,4708,4728,4788,4867,4959,5005,5034,5058,5152,5175,5221,5317,5397,5444,5569,5587,5675,5708,5745,5764,5795,5849,5932,6017,6088,6120,6175,6269,6306,6384,6387,6467,6519,6578,6641,6724,6777,6810,6849,6885,6899,7038,7081,7091,7144,7248,7286,7397,7477,7553,7580,7633,7665,7678,7771,7787,7801,7877,7905,7921,7955,8057,8143,8155,8158,8183,8255,8271,8359,8456,8549,8569,8648,8656,8743,8790,8861,8963,9013,9084,9144,9188,9247,9301,9335,9348,9380,9456,9515,9569,9651,9744,9777,9843,9884,9892,9945,9982,10082,10098,10190,10197,10220,10318,10351,10395,10487,10574,10578,10612,10653,10728,10800,10874,10983,11010,11059,11122,11218,11323
302,352,455,538,622,703,777,793,874,897,987,1012,1063,1147,1232,1274,1334,1391,1447,1543,1639,1641,1704,1720,1778,1808,1819,1911,1981,2067,2090,2104,2186,2242,2323,2380,2486,2568,2601,2655,2667,2733,2765,2858,2954,3037,3104,3116,3174,3273,3313,3363,3406,3469,3558,3577,3583,3675,3752,3805,3890,3965,4047,4084,4125,4175,4193,4287,4326,4404,4460,4508,4526,4569,4625,4637,4638,4685,4748,4810,4825,4900,4933,5029,5087,5138,5191,5201,5227,5247,5337,5401,5412,5505,5646,5704,5755,5772,5799,5869,5954,6010,6061,6156,6240,6299,6376,6396,6443,6470,6554,6588,6669,6696,6714,6785,6872,6882,6934,6978,7059,7067,7130,7137,7228,7264,7369,7408,7545,7589,7687,7732,7767,7792,7825,7919,7944,8014,8058,8103,8140,8223,8277,8309,8321,8387,8426,8497,8554,8631,8634,8653,8738,8763,8827,8860,8947,9011,9096,9109,9190,9258,9278,9320,9358,9432,9467,9542,9600,9677,9769,9836,9841,9865,9929,9988,10028,10059,10156,10208,10235,10238,10244,10405,10504,10514,10566,10672,10689,10693,10720,10789,10842,10935,11023,11093,11189,11229,11302,11364
