0,5,23,51,70,117,137,181,203,274,292,323,334,361,407,409,461,471,503,545,625,643,732,775,860,879,960,1009,1078,1113,1144,1175,1235,1252,1347,1366,1407,1415,1455,1458,1507,1577,1626,1666,1672,1703,1773,1834,1873,1950,1985,2037,2104,2141,2171,2182,2211,2259,2318,2355,2437,2439,2515,2599,2602,2690,2763,2823,2901,2942,2983,3006,3041,3068,3131,3223,3310,3319,3413,3451,3495,3541,3615,3629,3693,3713,3805,3896,3962,4002,4016,4034,4126,4184,4201,4285,4300,4376,4411,4431,4488,4547,4590,4599,4695,4749,4847,4884,4973,5002,5074,5173,5266,5273,5353,5447,5496,5553,5573,5606,5617,5660,5728,5825,5826,5900,5983,6049,6090,6166,6220,6317,6380,6456,6543,6610,6653,6700,6790,6855,6911,6977,7001,7065,7151,7250,7271,7340,7355,7379,7457,7483,7520,7572,7601,7673,7761,7833,7888,7967,8024,8062,8129,8192,8197,8274,8331,8373,8380,8445,8517,8606,8669,8768,8779,8855,8926,8945,9031,9046,9138,9192,9222,9246,9332,9412,9482,9565,9612,9643,9738,9745,9760,9786,9865,9934,9953,10004,10020,10027
5,23,51,70,117,137,233,260,290,316,383,418,442,447,493,494,505,546,610,655,703,767,828,898,935,987,1033,1128,1164,1168,1245,1300,1351,1438,1450,1456,1531,1548,1641,1672,1677,1705,1757,1833,1874,1894,1953,1990,2085,2098,2189,2200,2262,2279,2341,2342,2343,2368,2454,2508,2562,2642,2666,2667,2726,2770,2854,2918,2942,2983,3057,3119,3198,3209,3278,3348,3358,3438,3451,3537,3612,3615,3656,3714,3760,3805,3896,3973,4035,4108,4184,4191,4233,4311,4351,4376,4403,4454,4550,4577,4617,4705,4780,4873,4913,4976,5048,5135,5161,5245,5270,5352,5368,5410,5504,5507,5605,5631,5679,5764,5814,5880,5890,5930,5980,6075,6131,6217,6239,6313,6409,6508,6591,6605,6678,6712,6774,6816,6855,6912,6977,7001,7085,7151,7250,7300,7397,7473,7495,7527,7551,7561,7645,7737,7778,7804,7876,7947,7970,8043,8077,8129,8228,8301,8386,8419,8510,8511,8536,8547,8606,8680,8768,8796,8894,8926,8985,9031,9051,9146,9235,9301,9325,9356,9412,9482,9565,9612,9693,9738,9776,9859,9914,9963,9986,9993,10083,10108,10131,10196
13,62,70,109,125,233,260,310,317,383,425,442,485,493,495,517,587,610,655,714,767,849,948,950,987,1033,1130,1164,1169,1245,1314,1351,1438,1462,1468,1531,1602,1662,1697,1735,1743,1761,1841,1874,1942,1977,2044,2085,2168,2196,2230,2301,2303,2341,2365,2389,2488,2560,2572,2655,2701,2728,2790,2814,2850,2929,2962,2980,3040,3105,3177,3222,3298,3347,3413,3500,3529,3608,3637,3660,3726,3753,3808,3871,3928,4000,4078,4135,4164,4196,4252,4300,4392,4484,4546,4564,4624,4640,4646,4737,4822,4920,5008,5054,5125,5128,5189,5215,5310,5330,5360,5409,5467,5552,5612,5622,5656,5721,5764,5820,5911,5978,6055,6087,6166,6250,6259,6356,6373,6453,6510,6591,6661,6688,6752,6774,6816,6828,6912,6964,7046,7085,7157,7237,7325,7397,7473,7503,7569,7579,7639,7647,7737,7801,7890,7943,7993,8072,8131,8197,8202,8255,8318,8386,8461,8515,8596,8691,8703,8737,8758,8809,8876,8942,9015,9112,9155,9205,9267,9305,9371,9458,9502,9579,9618,9643,9650,9693,9769,9841,9859,9955,10020,10077,10109,10112,10143,10151,10245,10249
62,83,84,173,247,274,328,329,422,469,488,553,588,645,699,703,740,809,849,874,972,1023,1081,1149,1162,1243,1293,1326,1359,1373,1403,1459,1527,1536,1591,1676,1702,1757,1783,1789,1860,1947,1988,2036,2109,2128,2208,2238,2270,2309,2366,2374,2430,2473,2514,2611,2622,2720,2785,2884,2924,2947,3012,3033,3097,3122,3171,3214,3284,3362,3363,3429,3472,3556,3571,3659,3697,3744,3809,3849,3877,3962,4000,4062,4159,4203,4255,4278,4349,4400,4414,4473,4557,4619,4626,4710,4736,4812,4858,4944,5043,5115,5171,5265,5288,5356,5362,5398,5427,5439,5536,5580,5637,5687,5722,5810,5876,5964,5983,6006,6068,6140,6208,6278,6348,6410,6440,6512,6600,6641,6720,6721,6767,6781,6857,6909,7008,7102,7127,7138,7174,7191,7253,7325,7385,7442,7531,7569,7660,7746,7774,7854,7902,7932,7946,7993,8072,8131,8197,8209,8274,8318,8363,8461,8550,8620,8691,8789,8881,8891,8945,9044,9101,9137,9182,9189,9288,9341,9354,9371,9458,9502,9579,9665,9719,9725,9809,9864,9946,10008,10107,10164,10249,10348,10424,10485,10489,10516,10576,10626
83,117,190,247,274,347,357,428,515,550,605,653,720,758,773,823,868,947,971,1065,1070,1169,1180,1192,1275,1293,1326,1405,1484,1501,1565,1609,1663,1667,1696,1793,1808,1827,1867,1928,2003,2092,2130,2227,2257,2273,2345,2410,2418,2435,2451,2507,2567,2570,2636,2719,2764,2789,2884,2924,2947,3040,3058,3154,3228,3321,3335,3361,3452,3455,3478,3524,3605,3665,3751,3816,3893,3978,3986,3992,4061,4143,4197,4275,4285,4318,4343,4366,4400,4458,4513,4557,4619,4690,4779,4842,4906,4993,5008,5101,5128,5222,5265,5320,5356,5363,5460,5492,5504,5536,5611,5693,5727,5800,5863,5885,5964,6047,6049,6107,6140,6208,6278,6348,6412,6440,6512,6600,6641,6720,6749,6846,6874,6940,7004,7037,7102,7145,7232,7259,7290,7320,7357,7397,7491,7534,7568,7665,7747,7834,7901,7960,8025,8109,8184,8189,8271,8352,8411,8502,8543,8584,8615,8637,8701,8756,8815,8881,8949,8977,9066,9102,9137,9182,9261,9348,9368,9394,9431,9509,9536,9631,9699,9782,9806,9899,9949,10014,10047,10107,10169,10249,10348,10424,10507,10518,10605,10608,10649,10690
117,190,221,260,347,357,428,515,550,605,653,720,758,779,865,902,961,998,1095,1151,1197,1260,1285,1339,1404,1438,1447,1501,1583,1651,1654,1735,1780,1782,1835,1913,1940,2033,2051,2138,2178,2216,2262,2320,2331,2345,2410,2420,2504,2546,2645,2698,2752,2758,2802,2866,2925,2942,2991,2994,3091,3149,3196,3234,3321,3365,3399,3452,3529,3609,3651,3716,3726,3801,3893,3979,4009,4064,4121,4211,4218,4276,4296,4342,4423,4521,4544,4578,4625,4712,4717,4795,4796,4884,4941,4963,5050,5102,5197,5285,5331,5368,5429,5433,5529,5583,5681,5713,5749,5848,5904,5912,5926,6017,6078,6115,6144,6185,6226,6266,6345,6385,6484,6519,6541,6571,6640,6710,6807,6893,6934,7010,7016,7043,7124,7141,7204,7232,7277,7294,7335,7357,7397,7491,7534,7633,7671,7748,7843,7901,7960,8025,8109,8184,8237,8292,8352,8413,8502,8543,8601,8681,8700,8729,8756,8815,8876,8949,9018,9066,9102,9177,9263,9268,9348,9368,9448,9467,9509,9574,9671,9699,9782,9835,9934,9986,10014,10047,10096,10169,10209,10339,10371,10507,10547,10605,10704,10780,10788,10841
139,224,269,365,393,405,487,565,607,656,677,728,789,865,902,995,1048,1105,1151,1222,1307,1321,1383,1404,1465,1492,1508,1583,1651,1674,1762,1789,1865,1933,1958,1960,2034,2087,2174,2181,2234,2293,2345,2380,2420,2472,2530,2599,2619,2645,2698,2752,2795,2833,2880,2955,2999,3093,3112,3197,3267,3302,3322,3344,3365,3408,3482,3529,3623,3658,3716,3730,3812,3893,3987,4009,4093,4121,4211,4299,4312,4375,4446,4525,4582,4586,4680,4704,4767,4820,4869,4895,4908,4961,5035,5125,5183,5253,5337,5360,5435,5520,5553,5606,5625,5720,5762,5861,5875,5904,5922,6018,6060,6099,6150,6246,6270,6320,6392,6409,6445,6520,6608,6620,6632,6675,6754,6808,6893,6944,7031,7115,7141,7238,7322,7376,7377,7406,7411,7457,7532,7580,7617,7654,7693,7716,7771,7849,7943,7965,7989,8095,8176,8237,8292,8384,8483,8533,8555,8645,8681,8700,8729,8798,8837,8880,8896,9018,9076,9099,9192,9263,9316,9338,9365,9448,9512,9520,9584,9671,9726,9823,9869,9934,9995,10046,10139,10176,10207,10302,10357,10387,10433,10547,10643,10704,10780,10802,10861,10880
224,269,365,393,436,487,565,607,656,689,733,808,879,900,995,1084,1119,1149,1222,1307,1321,1383,1415,1465,1505,1575,1628,1646,1676,1762,1789,1888,1975,1985,2014,2034,2107,2174,2194,2288,2374,2378,2423,2452,2514,2578,2671,2730,2759,2831,2880,2905,2948,2956,3033,3073,3142,3160,3197,3288,3329,3379,3443,3456,3505,3531,3619,3663,3753,3769,3798,3868,3954,3987,4015,4093,4121,4213,4299,4320,4375,4463,4525,4595,4605,4680,4704,4767,4820,4876,4918,4966,5000,5050,5125,5212,5259,5337,5360,5435,5520,5568,5643,5723,5749,5784,5861,5918,5924,6002,6018,6105,6148,6171,6246,6298,6352,6392,6465,6482,6575,6622,6690,6705,6804,6830,6921,7010,7056,7063,7126,7164,7238,7322,7376,7437,7492,7586,7587,7590,7670,7711,7810,7861,7904,7970,8062,8139,8169,8187,8196,8246,8326,8340,8384,8483,8562,8596,8687,8703,8709,8719,8798,8837,8880,8971,9069,9128,9149,9192,9255,9316,9358,9427,9451,9512,9578,9638,9656,9726,9823,9869,9918,9995,10065,10139,10208,10230,10302,10389,10462,10478,10518,10643,10682,10710,10802,10861,10885,10975
264,340,409,436,481,532,601,693,698,733,808,879,915,973,1084,1119,1149,1183,1260,1314,1390,1415,1505,1526,1575,1639,1656,1698,1749,1824,1888,1975,1991,2080,2083,2173,2211,2274,2292,2374,2436,2451,2526,2559,2590,2671,2730,2759,2831,2880,2905,2948,2956,3033,3124,3150,3160,3214,3288,3329,3415,3454,3512,3590,3591,3619,3715,3753,3832,3895,3959,4047,4086,4134,4186,4210,4256,4265,4321,4370,4469,4568,4595,4634,4708,4773,4803,4883,4925,4952,5038,5100,5169,5225,5271,5285,5384,5456,5540,5636,5695,5731,5779,5808,5882,5944,5971,6026,6096,6191,6279,6297,6309,6407,6423,6466,6496,6501,6522,6575,6624,6722,6815,6861,6899,6929,7010,7056,7064,7126,7164,7189,7281,7369,7437,7492,7586,7628,7671,7755,7768,7831,7861,7904,7970,8062,8139,8179,8212,8255,8343,8436,8471,8504,8563,8573,8623,8687,8714,8798,8879,8885,8938,9032,9052,9124,9183,9206,9245,9269,9340,9358,9427,9521,9544,9578,9651,9742,9746,9810,9844,9916,9956,10065,10134,10208,10232,10279,10389,10462,10490,10518,10603,10647,10726,10748,10855,10950,10993,11060
340,419,450,538,542,567,693,791,840,892,964,1011,1048,1071,1115,1143,1192,1274,1350,1428,1468,1527,1531,1568,1639,1662,1720,1747,1824,1867,1975,2048,2093,2113,2173,2213,2274,2311,2389,2436,2451,2526,2559,2658,2698,2753,2756,2849,2880,2907,2993,3079,3091,3139,3150,3185,3214,3303,3385,3459,3537,3574,3653,3702,3773,3830,3854,3953,3958,4029,4116,4125,4161,4213,4260,4350,4374,4399,4477,4559,4607,4636,4719,4807,4853,4947,4956,4959,4983,5067,5163,5187,5232,5314,5352,5384,5456,5540,5636,5695,5755,5790,5827,5920,5944,6037,6061,6155,6239,6294,6338,6401,6407,6425,6522,6543,6554,6563,6634,6718,6755,6823,6861,6899,6935,6950,7049,7064,7078,7167,7177,7240,7369,7390,7488,7563,7628,7698,7756,7825,7911,7959,8002,8085,8099,8195,8252,8306,8342,8419,8453,8471,8504,8563,8629,8630,8682,8749,8798,8879,8900,8995,9032,9120,9190,9220,9263,9295,9353,9422,9501,9552,9597,9607,9623,9681,9766,9802,9886,9909,9957,9970,9974,10125,10204,10275,10304,10399,10432,10490,10508,10603,10681,10726,10767,10828,10950,10993,11060,11099
