0,30,37,74,97,176,207,278,386,490,576,656,661,779,839,909,934,994,1047,1159,1181,1230,1288,1423,1491,1524,1632,1710,1734,1812,1886,1953,1991,2069,2127,2273,2294,2447,2504,2581,2644,2729,2843,2892,2983,3146,3196,3270,3325,3417
2,37,71,97,170,226,297,395,474,544,640,678,756,843,869,934,998,1047,1140,1169,1205,1288,1343,1433,1550,1593,1688,1756,1812,1886,1954,2009,2100,2124,2214,2308,2376,2502,2590,2691,2740,2889,2907,2993,3073,3171,3233,3328,3459,3467
37,69,119,123,207,262,342,439,562,616,661,736,861,869,934,986,1030,1132,1186,1205,1296,1344,1433,1524,1563,1688,1725,1812,1877,1928,1991,2068,2116,2214,2292,2390,2465,2596,2707,2770,2810,2892,3002,3090,3171,3245,3284,3382,3467,3556
43,97,129,192,307,370,479,527,615,666,736,794,872,921,963,1049,1086,1158,1250,1275,1306,1379,1474,1563,1658,1709,1812,1900,1905,2016,2089,2123,2222,2301,2367,2504,2570,2686,2766,2795,2930,2983,3062,3102,3217,3285,3378,3499,3566,3648
62,133,166,230,374,421,497,646,661,723,813,870,879,941,1050,1077,1154,1205,1253,1301,1394,1459,1562,1648,1697,1793,1827,1922,1993,2076,2114,2213,2278,2394,2465,2546,2686,2729,2795,2892,2983,3062,3157,3233,3284,3334,3473,3522,3608,3713
75,166,230,327,457,497,575,662,717,753,846,901,954,1006,1079,1115,1205,1286,1308,1380,1430,1562,1618,1659,1765,1801,1966,1984,2072,2114,2201,2269,2364,2457,2539,2632,2733,2811,2954,3023,3052,3091,3247,3264,3347,3426,3565,3584,3677,3793
166,207,310,421,499,573,655,672,741,831,903,909,1037,1078,1114,1205,1244,1329,1346,1412,1509,1578,1701,1703,1801,1972,2020,2093,2121,2207,2269,2407,2457,2532,2632,2792,2798,2885,2976,3032,3072,3189,3265,3336,3400,3527,3610,3677,3768,3812
172,250,348,493,569,620,706,810,831,902,909,1045,1055,1121,1157,1206,1297,1378,1412,1553,1621,1658,1713,1801,1914,1992,2061,2114,2212,2243,2346,2449,2517,2626,2697,2818,2885,2976,3029,3106,3194,3271,3298,3403,3486,3578,3692,3735,3810,3873
183,329,440,569,590,648,744,831,866,933,997,1055,1114,1147,1242,1273,1336,1425,1489,1570,1629,1718,1801,1891,1992,2052,2119,2188,2243,2340,2454,2457,2547,2630,2795,2885,2959,3029,3072,3153,3233,3298,3396,3532,3578,3677,3696,3790,3816,3889
238,395,501,579,638,736,831,861,909,992,1055,1082,1123,1196,1252,1333,1412,1463,1570,1628,1702,1801,1891,1984,2052,2114,2167,2243,2316,2401,2457,2547,2630,2672,2885,2959,3001,3057,3153,3233,3298,3392,3486,3561,3662,3696,3731,3805,3830,3904
