0,30,37,70,140,194,230,261,374,417,543,601,652,787,870,888,966,1038,1131,1169,1247,1305,1437,1472,1590,1662,1768,1826,1924,2029,2107,2160,2273,2312,2372,2459,2488,2594,2643,2697,2729,2786,2871,2981,3030,3121,3284,3334,3408,3466
2,37,71,100,165,235,277,348,453,530,567,665,707,797,897,966,1040,1131,1169,1270,1302,1392,1532,1554,1678,1731,1848,1929,2026,2134,2160,2255,2312,2376,2456,2467,2525,2622,2660,2721,2833,2878,3027,3045,3131,3211,3309,3371,3466,3516
37,69,119,165,217,261,313,393,490,567,702,758,811,909,968,1031,1082,1197,1238,1286,1392,1470,1548,1643,1757,1854,1938,1975,2073,2160,2262,2320,2333,2408,2464,2525,2613,2658,2716,2796,2908,2948,3030,3140,3228,3309,3383,3422,3520,3605
43,97,129,194,282,313,397,524,595,687,707,823,863,948,1011,1059,1168,1283,1300,1399,1480,1545,1702,1748,1829,1927,1983,2072,2173,2259,2281,2392,2408,2473,2537,2583,2672,2748,2870,2898,2933,3068,3121,3200,3240,3355,3423,3516,3637,3697
62,133,166,283,310,351,466,542,620,728,834,852,985,1049,1054,1145,1248,1330,1390,1457,1573,1643,1805,1832,1927,2055,2063,2179,2189,2263,2351,2410,2484,2502,2553,2704,2761,2793,2871,2933,3030,3121,3200,3295,3371,3422,3472,3611,3660,3762
75,166,230,313,350,448,542,620,707,816,853,979,1019,1054,1121,1244,1296,1418,1448,1543,1636,1717,1839,1911,2044,2063,2172,2260,2309,2328,2439,2450,2514,2567,2622,2766,2793,2887,2936,3019,3121,3172,3229,3385,3402,3484,3564,3702,3721,3853
166,207,310,425,500,542,643,708,775,862,932,1001,1096,1097,1195,1311,1410,1477,1601,1687,1773,1810,1879,1976,2063,2176,2188,2263,2365,2414,2491,2529,2600,2648,2732,2774,2871,2919,3016,3116,3146,3192,3327,3402,3473,3537,3664,3747,3814,3872
172,250,348,462,501,614,690,776,852,932,1001,1054,1097,1195,1325,1415,1446,1543,1693,1761,1870,1875,1993,2063,2153,2188,2270,2376,2397,2496,2513,2547,2613,2735,2844,2891,2921,3016,3037,3119,3213,3301,3402,3435,3540,3623,3715,3829,3872,3933
183,329,440,545,576,690,718,814,932,953,1008,1099,1185,1285,1418,1446,1543,1620,1701,1791,1874,1973,2063,2137,2188,2252,2314,2397,2450,2498,2565,2692,2716,2774,2887,2901,2928,3033,3111,3186,3260,3340,3429,3533,3669,3715,3814,3833,3927,3949
238,395,501,555,636,700,806,901,935,1001,1081,1180,1275,1378,1446,1519,1604,1701,1791,1874,1916,2063,2123,2179,2231,2314,2397,2427,2498,2547,2603,2701,2774,2850,2901,2928,2987,3091,3166,3260,3340,3405,3523,3623,3698,3799,3833,3868,3942,3964
